

Database of gamma-ray burst bulk properties extracted from the on-line
3B catalog in May 1996, with cluster assignments from average-linkage
hierarachical clustering, created by S. Mukherjee.  logP256 was not used 
in clustering, but was added to the database by E. Feigelson in October 1997.


SAS #   Clus #  3B cat#   log t50    log t90   logFtot    log H321  log H32  log P256
118       1       2306.    0.5986    1.3247    -5.4762     0.4034    0.4916    0.0035
119       1       2900.    0.5505    1.2587    -5.4868     0.3633    0.5863   -0.3316
120       1       2476.    1.1584    1.5008    -5.0262    -0.1269    0.1549    0.2440
121       1       3119.    1.1325    1.5513    -5.1270    -0.1295    0.2213   -0.1209
122       1       2233.    0.8062    1.1525    -5.6227     0.2236    0.4906   -0.4989
123       1       3168.    0.8190    1.2572    -5.6080     0.1897    0.5652   -0.2950
124       1       469.     0.5986    1.1882    -4.9711     0.3983    0.6272    0.6255
125       1       1883.    0.5544    1.2391    -5.0378     0.3274    0.5600    0.7160
126       1       1218.    0.6124    0.9764    -5.7481     0.1225    0.2758    0.0952
127       1       1660.    1.4792    1.7315    -5.3555    -0.0092    0.2522    0.2225
128       1       3075.    1.5188    1.6393    -5.3153     0.0515    0.3090    0.3646
129       1       2340.    1.0639    1.3515    -5.3882     0.1495    0.3471    0.2057
130       1       1452.    0.7974    1.0849    -5.9130     0.2755    0.4111   -0.1068
131       1       3012.    0.7885    0.9965    -5.9322     0.1724    0.4036   -0.0009
132       1       2511.    1.5077    1.8081    -5.9020    -0.0855    0.2030    0.2533
133       1       559.     1.3003    1.5337    -4.9689     0.1670    0.2914   -0.3936
134       1       2451.    1.2549    1.5442    -5.0867     0.1163    0.3281    0.4504
135       1       171.     1.1094    1.3939    -5.7340    -0.0507    0.2440   -0.1898
136       1       1714.    1.0341    1.3732    -5.8182    -0.1182    0.2922   -0.4789
137       1       647.     1.2261    1.7751    -4.6803     0.2825    0.4297    0.8494
138       1       1997.    1.2311    1.7798    -4.6101     0.1592    0.4282    1.2134
139       1       222.     1.7561    1.8638    -5.1475     0.1806    0.4239    0.6010
140       1       2727.    1.6736    1.8081    -5.1883     0.1281    0.5016   -0.3458
141       1       503.     1.5017    1.6689    -5.2391     0.4925    0.6601    0.7037
142       1       2610.    1.4892    1.6876    -5.2005     0.3610    0.6237    0.1186
143       1       2102.    0.5544    1.0615    -5.6089     0.1861    0.4777    0.2079
144       1       2203.    0.5138    1.1791    -5.6607     0.1550    0.4353    0.1348
145       1       2018.    0.8190    1.2076    -5.6265    -0.2385    0.0433    0.0120
146       1       2660.    0.8105    1.2278    -5.7194    -0.1461    0.1038   -0.0315
147       1       673.     1.1179    1.4386    -5.9740     0.0256    0.1519   -0.5243
148       1       2636.    1.1603    1.4955    -5.8589    -0.0289    0.1636   -0.1169
149       1       1540.    1.2076    1.7437    -5.6751     0.1780    0.3666   -0.0535
